predicted_rank,player_id,player_name,player2_id,player2_name,country_code,continent,draw,predicted_points,date
1,90531,LIANG WEI KENG,55414.0,WANG CHANG,CHN,Asia,MD,99838.6685473787,2034-10-05
2,77262,KANG MIN HYUK,66513.0,SEO SEUNG JAE,KOR,Asia,MD,84909.670700993,2034-10-05
3,59673,HE JI TING,84812.0,REN XIANG YU,CHN,Asia,MD,81100.8776772576,2034-10-05
4,88876,FAJAR ALFIAN,91130.0,MUHAMMAD RIAN ARDIANTO,INA,Asia,MD,80994.28816276054,2034-10-05
5,56203,AARON CHIA,99389.0,SOH WOOI YIK,MAS,Asia,MD,78939.551912605,2034-10-05
6,90768,GOH SZE FEI,94814.0,NUR IZZUDDIN,MAS,Asia,MD,77097.5524939165,2034-10-05
7,93367,LIU YU CHEN,58241.0,OU XUAN YI,CHN,Asia,MD,72371.09668847469,2034-06-22
8,99102,LEE JHE-HUEI,76275.0,YANG PO-HSUAN,TPE,Asia,MD,69989.06495433077,2034-10-05
9,81657,TAKURO HOKI,67903.0,YUGO KOBAYASHI,JPN,Asia,MD,69530.5890230379,2034-10-05
10,87432,SABAR KARYAMAN GUTAMA,86136.0,MOH REZA PAHLEVI ISFAHANI,INA,Asia,MD,58726.497671675905,2034-10-05
