predicted_rank,player_id,player_name,country_code,continent,draw,predicted_points,date
1,57945,SHI YU QI,CHN,Asia,MS,99286.64517081266,2034-10-05
2,62063,KODAI NARAOKA,JPN,Asia,MS,81957.7972249359,2034-10-05
3,73442,JONATAN CHRISTIE,INA,Asia,MS,81311.04219566422,2034-10-05
4,64032,KUNLAVUT VITIDSARN,THA,Asia,MS,80893.50958929792,2034-10-05
5,81561,LEE ZII JIA,MAS,Asia,MS,76394.16830597537,2034-10-05
6,95476,LI SHI FENG,CHN,Asia,MS,73741.72243482142,2034-10-05
7,34810,CHOU TIEN CHEN,TPE,Asia,MS,72203.0831397632,2034-10-05
8,95661,ANTHONY SINISUKA GINTING,INA,Asia,MS,66924.04787026763,2034-10-05
9,85394,KENTA NISHIMOTO,JPN,Asia,MS,64155.80451925689,2034-10-05
10,86114,LIN CHUN-YI,TPE,Asia,MS,62514.01660187924,2034-10-05
