predicted_rank,player_id,player_name,player2_id,player2_name,country_code,continent,draw,predicted_points,date
1,81599,LIU SHENG SHU,59880.0,TAN NING,CHN,Asia,WD,102185.710540244,2034-10-05
2,56706,BAEK HA NA,91292.0,LEE SO HEE,KOR,Asia,WD,99494.24764726667,2034-10-05
3,94125,CHEN QING CHEN,65144.0,JIA YI FAN,CHN,Asia,WD,97351.88873132925,2034-10-05
4,65212,NAMI MATSUYAMA,68282.0,CHIHARU SHIDA,JPN,Asia,WD,89039.69277458634,2034-10-05
5,88135,RIN IWANAGA,87428.0,KIE NAKANISHI,JPN,Asia,WD,79326.77343531868,2034-10-05
6,81609,MAYU MATSUMOTO,77832.0,WAKANA NAGAHARA,JPN,Asia,WD,73611.4749124008,2034-08-03
7,85551,PEARLY TAN,68628.0,THINAAH MURALITHARAN,MAS,Asia,WD,72758.70892858323,2034-10-05
8,24686,JONGKOLPHAN KITITHARAKUL,84669.0,RAWINDA PRAJONGJAI,THA,Asia,WD,69917.24871447208,2034-06-15
9,85914,ZHANG SHU XIAN,85331.0,ZHENG YU,CHN,Asia,WD,67113.70303518654,2034-10-05
10,85540,LI YI JING,65300.0,LUO XU MIN,CHN,Asia,WD,66668.69201303874,2034-10-05
