predicted_rank,player_id,player_name,country_code,continent,draw,predicted_points,date
1,87442,AN SE YOUNG,KOR,Asia,WS,107376.58477783581,2034-10-05
2,61854,WANG ZHI YI,CHN,Asia,WS,93245.73243899374,2034-10-05
3,78778,CHEN YU FEI,CHN,Asia,WS,89779.94654731402,2034-10-05
4,96312,AKANE YAMAGUCHI,JPN,Asia,WS,81784.95733711917,2034-10-05
5,61427,TAI TZU YING,TPE,Asia,WS,81759.41801409228,2034-10-05
6,92967,HAN YUE,CHN,Asia,WS,78521.96622702874,2034-10-05
7,83802,GREGORIA MARISKA TUNJUNG,INA,Asia,WS,78319.94535001134,2034-10-05
8,87434,HE BING JIAO,CHN,Asia,WS,74085.74500402913,2034-06-15
9,95189,AYA OHORI,JPN,Asia,WS,70359.07906428147,2034-10-05
10,91422,SUPANIDA KATETHONG,THA,Asia,WS,62373.46988392736,2034-10-05
