predicted_rank,player_id,player_name,player2_id,player2_name,country_code,continent,draw,predicted_points,date
1,83046,ZHENG SI WEI,63168.0,HUANG YA QIONG,CHN,Asia,XD,105944.04308331115,2034-10-05
2,65267,FENG YAN ZHE,89426.0,HUANG DONG PING,CHN,Asia,XD,98457.43706440103,2034-10-05
3,63029,JIANG ZHEN BANG,57246.0,WEI YA XIN,CHN,Asia,XD,93096.65348302158,2034-10-05
4,66513,SEO SEUNG JAE,93074.0,CHAE YU JUNG,KOR,Asia,XD,79292.07276442426,2034-10-05
5,58240,YUTA WATANABE,79558.0,ARISA IGARASHI,JPN,Asia,XD,76352.96607853267,2034-10-05
6,61444,KIM WON HO,99778.0,JEONG NA EUN,KOR,Asia,XD,75121.53914614802,2034-10-05
7,77689,TANG CHUN MAN,61435.0,TSE YING SUET,HKG,Asia,XD,72649.52258693424,2034-10-05
8,91090,CHEN TANG JIE,59621.0,TOH EE WEI,MAS,Asia,XD,66513.72956187294,2034-10-05
9,92593,GOH SOON HUAT,56352.0,LAI SHEVON JEMIE,MAS,Asia,XD,64611.650470534754,2034-10-05
10,81458,DEJAN FERDINANSYAH,81702.0,GLORIA EMANUELLE WIDJAJA,INA,Asia,XD,60848.189132863154,2034-10-05
