predicted_rank,player_id,player_name,country_code,continent,draw,predicted_points,date
1,25831,VIKTOR AXELSEN,DEN,Europe,MS,95356.44376078875,2034-10-05
2,91554,ANDERS ANTONSEN,DEN,Europe,MS,90486.76534397999,2034-10-05
3,94580,ALEX LANIER,FRA,Europe,MS,56661.49058970925,2034-10-05
4,61628,TOMA JUNIOR POPOV,FRA,Europe,MS,55937.55252960443,2034-10-05
5,72885,CHRISTO POPOV,FRA,Europe,MS,51301.296342335256,2034-10-05
6,62855,RASMUS GEMKE,DEN,Europe,MS,44174.82333995712,2034-10-05
7,97030,MAGNUS JOHANNESEN,DEN,Europe,MS,35064.47211317488,2034-10-05
8,83938,MADS CHRISTOPHERSEN,DEN,Europe,MS,31564.256458399326,2034-10-05
9,70399,JULIEN CARRAGGI,BEL,Europe,MS,30766.045830107967,2034-10-05
10,85563,JOAKIM OLDORFF,FIN,Europe,MS,30046.92133401264,2034-10-05
