predicted_rank,player_id,player_name,player2_id,player2_name,country_code,continent,draw,predicted_points,date
1,43840,GABRIELA STOEVA,46169.0,STEFANI STOEVA,BUL,Europe,WD,55205.28486796703,2034-10-05
2,99891,MARGOT LAMBERT,98854.0,ANNE TRAN,FRA,Europe,WD,49408.25406949327,2034-10-05
3,70042,MAIKEN FRUERGAARD,68189.0,SARA THYGESEN,DEN,Europe,WD,47244.32354401544,2034-10-05
4,96877,POLINA BUHROVA,94032.0,YEVHENIIA KANTEMYR,UKR,Europe,WD,42070.795759000735,2034-10-05
5,83942,LINDA EFLER,98052.0,ISABEL LOHAU,GER,Europe,WD,36172.14227399165,2034-10-05
6,67373,DEBORA JILLE,70503.0,CHERYL SEINEN,NED,Europe,WD,35519.63710064126,2034-10-05
7,68532,AMALIE CECILIE KUDSK,89885.0,SIGNE SCHULZ,DEN,Europe,WD,30146.577267884004,2034-10-05
8,86455,MOA SJOO,60603.0,TILDA SJOO,SWE,Europe,WD,30126.732081869046,2034-10-05
9,70371,JULIE FINNE-IPSEN,64816.0,MAI SURROW,DEN,Europe,WD,30110.943350435122,2034-10-05
10,55668,PAULA LOPEZ,92404.0,LUCIA RODRIGUEZ,ESP,Europe,WD,29344.291464769103,2034-10-05
