predicted_rank,player_id,player_name,country_code,continent,draw,predicted_points,date
1,18228,CAROLINA MARIN,ESP,Europe,WS,77991.58661195076,2034-10-05
2,63437,LINE HØJMARK KJAERSFELDT,DEN,Europe,WS,50917.43911510969,2034-10-05
3,91224,MIA BLICHFELDT,DEN,Europe,WS,47833.51469915908,2034-10-05
4,85302,LINE CHRISTOPHERSEN,DEN,Europe,WS,42654.05951317602,2034-10-05
5,77002,JULIE DAWALL JAKOBSEN,DEN,Europe,WS,41978.183073682536,2034-10-05
6,91106,YVONNE LI,GER,Europe,WS,34591.577004293096,2034-10-05
7,96877,POLINA BUHROVA,UKR,Europe,WS,28574.972893160557,2034-10-05
8,88582,LÉONICE HUET,FRA,Europe,WS,27733.922770096808,2034-10-05
9,70651,AMALIE SCHULZ,DEN,Europe,WS,27419.11852529397,2034-10-05
10,65540,ROSY OKTAVIA PANCASARI,FRA,Europe,WS,27410.511393662917,2034-10-05
