predicted_rank,player_id,player_name,player2_id,player2_name,country_code,continent,draw,predicted_points,date
1,68544,THOM GICQUEL,70762.0,DELPHINE DELRUE,FRA,Europe,XD,50044.05781879689,2034-10-05
2,60507,MADS VESTERGAARD,58324.0,CHRISTINE BUSCH,DEN,Europe,XD,46097.73672157626,2034-10-05
3,66357,ROBIN TABELING,67176.0,SELENA PIEK,NED,Europe,XD,43560.846901002304,2034-10-05
4,91167,RASMUS ESPERSEN,68532.0,AMALIE CECILIE KUDSK,DEN,Europe,XD,30874.50165752041,2034-10-05
5,88726,JONES RALFY JANSEN,97648.0,THUC PHUONG NGUYEN,GER,Europe,XD,30826.366745676693,2034-10-05
6,81705,JESPER TOFT,88593.0,CLARA GRAVERSEN,DEN,Europe,XD,30199.984437414125,2034-10-05
7,73323,JULIEN MAIO,98329.0,LEA PALERMO,FRA,Europe,XD,24871.141081830876,2034-10-05
8,94156,RUBEN GARCIA,92404.0,LUCIA RODRIGUEZ,ESP,Europe,XD,24829.600842912572,2034-10-05
9,75729,OLEKSII TITOV,94032.0,YEVHENIIA KANTEMYR,UKR,Europe,XD,24752.435544597953,2034-10-05
10,99521,MATHIAS CHRISTIANSEN,88779.0,ALEXANDRA BØJE,DEN,Europe,XD,24062.67950460718,2034-10-05
