predicted_rank,player_id,player_name,country_code,continent,draw,predicted_points,date
1,57945,SHI YU QI,CHN,Asia,MS,99286.64517081266,2034-10-05
2,25831,VIKTOR AXELSEN,DEN,Europe,MS,95356.44376078875,2034-10-05
3,91554,ANDERS ANTONSEN,DEN,Europe,MS,90486.76534397999,2034-10-05
4,62063,KODAI NARAOKA,JPN,Asia,MS,81957.7972249359,2034-10-05
5,73442,JONATAN CHRISTIE,INA,Asia,MS,81311.04219566422,2034-10-05
6,64032,KUNLAVUT VITIDSARN,THA,Asia,MS,80893.50958929792,2034-10-05
7,81561,LEE ZII JIA,MAS,Asia,MS,76394.16830597537,2034-10-05
8,95476,LI SHI FENG,CHN,Asia,MS,73741.72243482142,2034-10-05
9,34810,CHOU TIEN CHEN,TPE,Asia,MS,72203.0831397632,2034-10-05
10,95661,ANTHONY SINISUKA GINTING,INA,Asia,MS,66924.04787026763,2034-10-05
