country_code,continent
USA,Pan America
ESP,Europe
INA,Asia
GUA,Pan America
GER,Europe
IND,Asia
THA,Asia
DEN,Europe
TPE,Asia
KOR,Asia
MRI,Africa
BUL,Europe
HKG,Asia
SCO,Europe
MAS,Asia
ENG,Europe
ISR,Europe
ITA,Europe
BEL,Europe
NED,Europe
PER,Pan America
BRA,Pan America
PHI,Asia
CAN,Pan America
VIE,Asia
SGP,Asia
NOR,Europe
JPN,Asia
CHN,Asia
UKR,Europe
IRL,Europe
FRA,Europe
SUI,Europe
SWE,Europe
CZE,Europe
ESA,Pan America
POL,Europe
HUN,Europe
RSA,Africa
MYA,Asia
TUR,Europe
SRB,Europe
AUS,Oceania
SRI,Asia
EST,Europe
MDV,Asia
EGY,Africa
ALG,Africa
MEX,Pan America
AUT,Europe
AZE,Europe
NGR,Africa
UAE,Asia
JAM,Pan America
KAZ,Asia
FIN,Europe
LAT,Europe
MAC,Asia
SLO,Europe
UGA,Africa
