id,name,country_code
13381_69091,PAULA LYNN CAO HOK /  LAUREN LAM,USA
14251,PABLO ABIAN,ESP
14587,TOMMY SUGIARTO,INA
17774,NIKTE ALEJANDRA SOTOMAYOR,GUA
18228,CAROLINA MARIN,ESP
20808,KAI SCHAEFER,GER
24172_17515,REDDY B. SUMEETH /  REDDY SIKKI,IND
24172_49765,REDDY B. SUMEETH /  ASHWINI PONNAPPA,IND
24686_84669,JONGKOLPHAN KITITHARAKUL /  RAWINDA PRAJONGJAI,THA
25684_56401,JONATHAN SOLIS /  DIANA CORLETO SOTO,GUA
25831,VIKTOR AXELSEN,DEN
26394_80057,MARCUS FERNALDI GIDEON /  KEVIN SANJAYA SUKAMULJO,INA
34810,CHOU TIEN CHEN,TPE
35642,RATCHANOK INTANON,THA
39276_84007,KIM GI JUNG /  KIM SA RANG,KOR
42679,KATE FOO KUNE,MRI
42776,SAI PRANEETH B.,IND
43840_46169,GABRIELA STOEVA /  STEFANI STOEVA,BUL
45171,NG KA LONG ANGUS,HKG
46776,HOWARD SHU,USA
48528,KIRSTY GILMOUR,SCO
50238_76967,SIRAWIT SOTHON /  NATTHAPAT TRINKAJEE,THA
50246_80605,CHENG SU HUI /  CHENG SU YIN,MAS
50322_57265,PRIYA KONJENGBAM /  SHRUTI MISHRA,IND
50481_61095,BRANDON ZHI HAO YAP /  ABBYGAEL HARRIS,ENG
50715_59331,CHLOE CONEY /  ESTELLE VAN LEEUWEN,ENG
50715_80918,CHLOE CONEY /  LAUREN SMITH,ENG
50937_60060,PHARANYU KAOSAMAANG /  WORRAPOL THONGSA-NGA,THA
51074_52749,HENDRA SETIAWAN /  MOHAMMAD AHSAN,INA
51998,MATTHIAS KICKLITZ,GER
52748,SAINA NEHWAL,IND
52864,LIEW DAREN,MAS
52953,MISHA ZILBERMAN,ISR
52953_34,MISHA ZILBERMAN /  SVETLANA ZILBERMAN,ISR
53142_58879,CHAN PENG SOON /  CHEAH YEE SEE,MAS
53753,HANS-KRISTIAN SOLBERG VITTINGHUS,DEN
53806,BEIWEN ZHANG,USA
53807,THAMONWAN NITHIITTIKRAI,THA
54149_70093,VIVIAN HOO /  LIM CHIEW SIEN,MAS
54314_65649,GIOVANNI GRECO /  DAVID SALUTT,ITA
