uid,id,date,draw,rank,points,delta_rank,tournaments_played,year,month
13381_69091_2023-10-24_WD,13381_69091,2023-10-24,WD,45,29810,0.0,26,2023,10
13381_69091_2023-10-31_WD,13381_69091,2023-10-31,WD,41,31630,4.0,27,2023,10
13381_69091_2023-11-07_WD,13381_69091,2023-11-07,WD,42,31880,1.0,28,2023,11
13381_69091_2023-11-14_WD,13381_69091,2023-11-14,WD,43,31880,1.0,29,2023,11
13381_69091_2023-11-21_WD,13381_69091,2023-11-21,WD,43,31880,0.0,29,2023,11
13381_69091_2023-11-28_WD,13381_69091,2023-11-28,WD,43,31880,0.0,28,2023,11
13381_69091_2023-12-05_WD,13381_69091,2023-12-05,WD,44,31880,1.0,27,2023,12
13381_69091_2023-12-12_WD,13381_69091,2023-12-12,WD,43,31880,1.0,26,2023,12
13381_69091_2023-12-19_WD,13381_69091,2023-12-19,WD,44,31880,1.0,26,2023,12
13381_69091_2023-12-26_WD,13381_69091,2023-12-26,WD,44,31880,0.0,26,2023,12
13381_69091_2024-01-02_WD,13381_69091,2024-01-02,WD,44,31880,0.0,26,2024,1
13381_69091_2024-01-09_WD,13381_69091,2024-01-09,WD,44,31880,0.0,26,2024,1
13381_69091_2024-01-16_WD,13381_69091,2024-01-16,WD,44,32220,0.0,26,2024,1
13381_69091_2024-01-23_WD,13381_69091,2024-01-23,WD,44,32220,0.0,27,2024,1
13381_69091_2024-01-30_WD,13381_69091,2024-01-30,WD,44,32220,0.0,27,2024,1
13381_69091_2024-02-06_WD,13381_69091,2024-02-06,WD,44,32220,0.0,27,2024,2
13381_69091_2024-02-13_WD,13381_69091,2024-02-13,WD,44,32270,0.0,28,2024,2
13381_69091_2024-02-20_WD,13381_69091,2024-02-20,WD,44,32270,0.0,28,2024,2
13381_69091_2024-02-27_WD,13381_69091,2024-02-27,WD,43,33520,1.0,28,2024,2
13381_69091_2024-03-05_WD,13381_69091,2024-03-05,WD,43,33520,0.0,28,2024,3
13381_69091_2024-03-12_WD,13381_69091,2024-03-12,WD,42,33520,1.0,28,2024,3
13381_69091_2024-03-19_WD,13381_69091,2024-03-19,WD,39,35520,3.0,28,2024,3
13381_69091_2024-03-26_WD,13381_69091,2024-03-26,WD,40,35520,1.0,28,2024,3
13381_69091_2024-04-02_WD,13381_69091,2024-04-02,WD,40,35520,0.0,28,2024,4
13381_69091_2024-04-09_WD,13381_69091,2024-04-09,WD,40,35520,0.0,28,2024,4
13381_69091_2024-04-16_WD,13381_69091,2024-04-16,WD,40,35520,0.0,28,2024,4
13381_69091_2024-04-23_WD,13381_69091,2024-04-23,WD,40,35520,0.0,28,2024,4
13381_69091_2024-04-30_WD,13381_69091,2024-04-30,WD,40,35520,0.0,28,2024,4
13381_69091_2024-05-07_WD,13381_69091,2024-05-07,WD,40,35520,0.0,27,2024,5
13381_69091_2024-05-14_WD,13381_69091,2024-05-14,WD,40,35520,0.0,26,2024,5
