Player_SK,Player_ID,Player_Name,Country_Code
1,13381_69091,PAULA LYNN CAO HOK /  LAUREN LAM,USA
2,14251,PABLO ABIAN,ESP
3,14587,TOMMY SUGIARTO,INA
4,17774,NIKTE ALEJANDRA SOTOMAYOR,GUA
5,18228,CAROLINA MARIN,ESP
6,20808,KAI SCHAEFER,GER
7,24172_17515,REDDY B. SUMEETH /  REDDY SIKKI,IND
8,24172_49765,REDDY B. SUMEETH /  ASHWINI PONNAPPA,IND
9,24686_84669,JONGKOLPHAN KITITHARAKUL /  RAWINDA PRAJONGJAI,THA
10,25684_56401,JONATHAN SOLIS /  DIANA CORLETO SOTO,GUA
11,25831,VIKTOR AXELSEN,DEN
12,26394_80057,MARCUS FERNALDI GIDEON /  KEVIN SANJAYA SUKAMULJO,INA
13,34810,CHOU TIEN CHEN,TPE
14,35642,RATCHANOK INTANON,THA
15,39276_84007,KIM GI JUNG /  KIM SA RANG,KOR
16,42679,KATE FOO KUNE,MRI
17,42776,SAI PRANEETH B.,IND
18,43840_46169,GABRIELA STOEVA /  STEFANI STOEVA,BUL
19,45171,NG KA LONG ANGUS,HKG
20,46776,HOWARD SHU,USA
21,48528,KIRSTY GILMOUR,SCO
22,50238_76967,SIRAWIT SOTHON /  NATTHAPAT TRINKAJEE,THA
23,50246_80605,CHENG SU HUI /  CHENG SU YIN,MAS
24,50322_57265,PRIYA KONJENGBAM /  SHRUTI MISHRA,IND
25,50481_61095,BRANDON ZHI HAO YAP /  ABBYGAEL HARRIS,ENG
26,50715_59331,CHLOE CONEY /  ESTELLE VAN LEEUWEN,ENG
27,50715_80918,CHLOE CONEY /  LAUREN SMITH,ENG
28,50937_60060,PHARANYU KAOSAMAANG /  WORRAPOL THONGSA-NGA,THA
29,51074_52749,HENDRA SETIAWAN /  MOHAMMAD AHSAN,INA
30,51998,MATTHIAS KICKLITZ,GER
31,52748,SAINA NEHWAL,IND
32,52864,LIEW DAREN,MAS
33,52953,MISHA ZILBERMAN,ISR
34,52953_34,MISHA ZILBERMAN /  SVETLANA ZILBERMAN,ISR
35,53142_58879,CHAN PENG SOON /  CHEAH YEE SEE,MAS
36,53753,HANS-KRISTIAN SOLBERG VITTINGHUS,DEN
37,53806,BEIWEN ZHANG,USA
38,53807,THAMONWAN NITHIITTIKRAI,THA
39,54149_70093,VIVIAN HOO /  LIM CHIEW SIEN,MAS
40,54314_65649,GIOVANNI GRECO /  DAVID SALUTT,ITA
41,54897,KEVIN CORDON,GUA
42,54998_81043,SATHWIK REDDY KANAPURAM /  VAISHNAVI KHADKEKAR,IND
43,55318,LIANNE TAN,BEL
44,55493_93025,ADAM PRINGLE /  RACHEL ANDREW,SCO
45,55668_92404,PAULA LOPEZ /  LUCIA RODRIGUEZ,ESP
46,55874_71391,KIM SO YEONG /  KONG HEE YONG,KOR
47,55908_96301,ANDY BUIJK /  KELLY VAN BUITEN,NED
48,55920,HUANG PING-HSIEN,TPE
49,55939_56711,ZAIDAN ARRAFI AWAL NABAWI /  JESSICA MAYA RISMAWARDANI,INA
50,55942,ADRIANO VIALE,PER
51,56203_99389,AARON CHIA /  SOH WOOI YIK,MAS
52,56271_81655,KOON FUNG KELVIN HO /  SAMUEL O’BRIEN RICKETTS,ENG
53,56350_88642,CHOONG HON JIAN /  MUHAMMAD HAIKAL,MAS
54,56350_94530,CHOONG HON JIAN /  GO PEI KEE,MAS
55,56401_17774,DIANA CORLETO SOTO /  NIKTE ALEJANDRA SOTOMAYOR,GUA
56,56450_75049,WILLIAM KRYGER BOE /  CHRISTIAN FAUST KJÆR,DEN
57,56522_84897,SANIA LIMA /  JULIANA VIANA VIEIRA,BRA
58,56706_66115,BAEK HA NA /  LEE YU LIM,KOR
59,56706_91292,BAEK HA NA /  LEE SO HEE,KOR
60,56746_59709,LU CHING YAO /  YANG PO HAN,TPE
61,56754_57165,ALVIN MORADA /  ALYSSA YSABEL LEONARDO,PHI
62,56934_64767,JACKIE DENT /  CRYSTAL LAI,CAN
63,57230,VU THI ANH THU,VIE
64,57297,FABIAN ROTH,GER
65,57372_94165,DHRUV KAPILA /  TANISHA CRASTO,IND
66,57424_70231,FANG-CHIH LEE /  FANG-JEN LEE,TPE
67,57457_76507,JAQUELINE LIMA /  SAMIA LIMA,BRA
68,57465,INSYIRAH KHAN,SGP
69,57560_88097,LANNY TRIA MAYASARI /  SITI FADIA SILVA RAMADHANTI,INA
70,57560_94567,LANNY TRIA MAYASARI /  RACHEL ALLESSYA ROSE,INA
71,57560_96455,LANNY TRIA MAYASARI /  RIBKA SUGIARTO,INA
72,57694_79189,TORJUS FLAATTEN /  VEGARD RIKHEIM,NOR
73,57740_94528,AYATO ENDO /  YUTA TAKEI,JPN
74,57791_86226,CATHERINE CHOI /  JOSEPHINE WU,CAN
75,57798,IRIS WANG,USA
76,57823,KANTA TSUNEYAMA,JPN
77,57924,CHAN YIN CHAK,HKG
78,57945,SHI YU QI,CHN
79,58089,ALWI FARHAN,INA
80,58180_89068,GREGORY MAIRS /  JENNY MAIRS,ENG
81,58201_68089,ACHUTADITYA RAO DODDAVARAPU /  VENKATA HARSHA VARDHAN RAYUDU VEERAMREDDY,IND
82,58240_79558,YUTA WATANABE /  ARISA IGARASHI,JPN
83,58271,BUSANAN ONGBAMRUNGPHAN,THA
84,58328,DANYLO BOSNIUK,UKR
85,58402_79258,JOSE GUEVARA /  INES LUCIA CASTILLO,PER
86,58402_91469,JOSE GUEVARA /  DIEGO MINI,PER
87,58478_58337,KATE FROST /  MOYA RYAN,IRL
88,58487_87236,TORI AIZAWA /  DAISUKE SANO,JPN
89,58493_63683,KEVIN LEE /  TY ALEXANDER LINDEMAN,CAN
90,58493_70079,KEVIN LEE /  ELIANA ZHANG,CAN
91,58539_25322,DONG ADAM (XINGYU) /  NYL YAKURA,CAN
92,58678_61160,TAN QIANG /  ZHOU HAO DONG,CHN
93,58720,ZHANG YI MAN,CHN
94,58931_50469,CHENG XING /  CHEN FANG HUI,CHN
95,58931_88450,CHENG XING /  ZHANG CHI,CHN
96,58963,SITTHIKOM THAMMASIN,THA
97,58986_62639,MING CHE LU /  HUNG EN-TZU,TPE
98,58986_72372,MING CHE LU /  TANG KAI WEI,TPE
99,59014_54996,SAYAKA HOBARA /  YUI SUIZU,JPN
100,59068_58337,JOSHUA MAGEE /  MOYA RYAN,IRL
101,59068_92985,JOSHUA MAGEE /  PAUL REYNOLDS,IRL
102,59077,KUO KUAN LIN,TPE
